,1B,2B,3B,HR,BB,Career Start,Career Ended,playerID,nameFirst,nameLast,salary,POS
0,-0.0222952405844,0.00822598260478,-0.00237894398418,-0.00398008876076,0.0547589075306,2001,2005,abreubo01,Bobby,Abreu,9000000,LF
1,-0.0222952405844,0.00822598260478,-0.00237894398418,-0.00398008876076,0.0547589075306,2001,2005,abreubo01,Bobby,Abreu,9000000,OF
2,-0.0222952405844,0.00822598260478,-0.00237894398418,-0.00398008876076,0.0547589075306,2001,2005,abreubo01,Bobby,Abreu,9000000,RF
3,-0.0222952405844,0.00822598260478,-0.00237894398418,-0.00398008876076,0.0547589075306,2001,2005,abreubo01,Bobby,Abreu,9000000,CF
9,-0.0222952405844,0.00822598260478,-0.00237894398418,-0.00398008876076,0.0547589075306,2001,2005,abreubo01,Bobby,Abreu,9000000,DH
54,-0.0265923805021,0.00775699035476,-0.00109876050023,0.0123382838618,0.0579708471897,1992,1999,bagweje01,Jeff,Bagwell,6875000,1B
58,-0.0265923805021,0.00775699035476,-0.00109876050023,0.0123382838618,0.0579708471897,1992,1999,bagweje01,Jeff,Bagwell,6875000,OF
59,-0.0265923805021,0.00775699035476,-0.00109876050023,0.0123382838618,0.0579708471897,1992,1999,bagweje01,Jeff,Bagwell,6875000,RF
63,-0.0265923805021,0.00775699035476,-0.00109876050023,0.0123382838618,0.0579708471897,1992,1999,bagweje01,Jeff,Bagwell,6875000,DH
76,-0.0236861617852,0.0118517084317,0.00211475009101,0.00811140178236,0.0373105521946,2005,2005,bayja01,Jason,Bay,4750000,CF
78,-0.0236861617852,0.0118517084317,0.00211475009101,0.00811140178236,0.0373105521946,2005,2005,bayja01,Jason,Bay,4750000,LF
79,-0.0236861617852,0.0118517084317,0.00211475009101,0.00811140178236,0.0373105521946,2005,2005,bayja01,Jason,Bay,4750000,OF
81,-0.0236861617852,0.0118517084317,0.00211475009101,0.00811140178236,0.0373105521946,2005,2005,bayja01,Jason,Bay,4750000,RF
90,-0.0236861617852,0.0118517084317,0.00211475009101,0.00811140178236,0.0373105521946,2005,2005,bayja01,Jason,Bay,4750000,DH
107,-0.0228384941154,0.00270134633008,-0.00242324846754,0.0233999075932,0.0206932476618,1979,1979,baylodo01,Don,Baylor,695909,CF
108,-0.0228384941154,0.00270134633008,-0.00242324846754,0.0233999075932,0.0206932476618,1979,1979,baylodo01,Don,Baylor,695909,OF
109,-0.0228384941154,0.00270134633008,-0.00242324846754,0.0233999075932,0.0206932476618,1979,1979,baylodo01,Don,Baylor,695909,RF
112,-0.0228384941154,0.00270134633008,-0.00242324846754,0.0233999075932,0.0206932476618,1979,1979,baylodo01,Don,Baylor,695909,1B
114,-0.0228384941154,0.00270134633008,-0.00242324846754,0.0233999075932,0.0206932476618,1979,1979,baylodo01,Don,Baylor,695909,LF
118,-0.0228384941154,0.00270134633008,-0.00242324846754,0.0233999075932,0.0206932476618,1979,1979,baylodo01,Don,Baylor,695909,DH
181,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,3B
182,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,CF
183,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,OF
184,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,RF
190,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,DH
192,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,1B
195,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,LF
200,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,SS
211,0.00978566284348,0.0154910459009,-0.00242937967539,-0.00238795261527,-0.038023286162,1979,1979,bellbu01,Buddy,Bell,830454,2B
221,-0.0220267661335,0.0189300592276,-0.0020848562179,0.0213583281529,0.032747590689,1998,1998,belleal01,Albert,Belle,5700000,DH
222,-0.0220267661335,0.0189300592276,-0.0020848562179,0.0213583281529,0.032747590689,1998,1998,belleal01,Albert,Belle,5700000,LF
223,-0.0220267661335,0.0189300592276,-0.0020848562179,0.0213583281529,0.032747590689,1998,1998,belleal01,Albert,Belle,5700000,OF
224,-0.0220267661335,0.0189300592276,-0.0020848562179,0.0213583281529,0.032747590689,1998,1998,belleal01,Albert,Belle,5700000,RF
259,-0.0114695660188,0.0117601219411,0.0044987416236,-0.00469567987879,0.00337520879851,2002,2002,beltrca01,Carlos,Beltran,13000000,CF
260,-0.0114695660188,0.0117601219411,0.0044987416236,-0.00469567987879,0.00337520879851,2002,2002,beltrca01,Carlos,Beltran,13000000,OF
262,-0.0114695660188,0.0117601219411,0.0044987416236,-0.00469567987879,0.00337520879851,2002,2002,beltrca01,Carlos,Beltran,13000000,DH
266,-0.0114695660188,0.0117601219411,0.0044987416236,-0.00469567987879,0.00337520879851,2002,2002,beltrca01,Carlos,Beltran,13000000,LF
268,-0.0114695660188,0.0117601219411,0.0044987416236,-0.00469567987879,0.00337520879851,2002,2002,beltrca01,Carlos,Beltran,13000000,RF
302,0.0210738539282,-0.00431378385241,0.00158984730813,-0.0100548629686,0.00622298545779,1992,1997,biggicr01,Craig,Biggio,4000000,C
